-70.7208583300 42.3930416000 .05
-70.6665944444 42.4656944444 .05
-70.5548055555 42.4670611110 .05
-70.4959083333 42.3961138888 .05
-70.5509444444 42.3233194444 .05
-70.6628972222 42.3217027777 .05
-70.6085360000 42.3946010000 .05
-70.8334480000 42.3912240000 .05
-70.7792640000 42.4642980000 .05
-70.7249570000 42.5373470000 .05
-70.6122380000 42.5389890000 .05
-70.4995090000 42.5405190000 .05
-70.4414820000 42.4690450000 .05
-70.3835880000 42.3975380000 .05
-70.4381800000 42.3246440000 .05
-70.4926480000 42.2517260000 .05
-70.6048610000 42.2502100000 .05
-70.7170650000 42.2485850000 .05
-70.7751900000 42.3199210000 .05
